,CommentText,Nickname,Date,LikesCount,IsBaseComment
83,Зальцбург Бавария,Дмитрий Бычков,2022-02-25 12:01:00,2,True
84,-,Дмитрий Чернов,2022-03-01 10:32:00,2,True
85,"Бавария пройдет в 1/4 и тогда Бавария заиграет опять мощно, 3 или 4 основника в травме но уже тренируются в общей команде",Азаров Азар,2022-02-24 20:48:00,2,True
86,Ну что ребята финал в Питере отменяется(,Денис Казарец,2022-03-02 15:43:00,1,True
87,"Денис, скоро ваше життя відмінеться а не тошо фінал Питере!!!!",Andriy Bosov,2022-03-02 18:00:00,0,False
88,Все закономерно,Павел Зимин,2022-02-25 02:23:00,1,True
89,За что зенит засудили....,Филипп Бебренко,2022-02-25 08:37:00,1,True
90,МЮ/МС/Ливер/Челси Бавария/ПСЖ/Юве/Аякс Будут в 1/4,Магомед Магомедов,2022-02-24 01:10:00,1,True
91,Удивил Зальцбург-бавария,Александр Архипов,2022-02-25 07:41:00,0,True
92,"Александр, и этот матч тоже",Николай Чеглаков,2022-02-25 08:38:00,0,False
93,Бавария,Тимур Гадиятулин,2022-02-25 07:20:00,0,True
94,"АТМ-МЮ ожидал более зрелищного матча думал будет какая то перестрелка по типу 2:1 или 2:2 но,увы МЮ вообще обосрался",Николай Сламихин,2022-02-24 01:10:00,1,True
95,Бавария очевидно,Артём Абрамовский,2022-02-24 01:02:00,0,True
96,Бавария,Иван Панасевич,2022-02-24 01:02:00,0,True
97,Спортинг: Сити,Вячеслав Черёмин,2022-02-24 01:06:00,0,True
98,Зальцбург-Бавария удивил,Михаил Яковлев,2022-02-24 01:07:00,0,True
99,Зальцбург - Бавария. Интер - Ливерпуль. ПСЖ - Реал,Виталий Козин,2022-02-24 01:10:00,0,True
100,Барселона Наполи самый напряжённый матч был!,Nikolay Andreevich,2022-02-24 01:11:00,0,True
101,"Молодой талант, спаситель Рангника)",Манчестер Юнайтед | MUFC,2022-02-24 01:11:00,0,True
102,Зальцбург Бавария бар,Алексей Дудиков,2022-02-24 01:12:00,0,True
103,В 1/4 пройдут:ПСЖМанчестер СитиБаварияПоказать полностью...ЛиверпульЧелсиЮвентусАяксАтлетико,Никита Карпов,2022-02-24 01:12:00,0,True
104,Удивила ничья Баварии с Зальцбургом,Влад Денисов,2022-02-24 01:13:00,0,True
105,"МЮ будет дальше играть, верим и ждём  в следующую игру",Мард Мужик,2022-02-24 01:15:00,0,True
106,Поражение Интера. До 75-й надеялся на лучшее,Андрей Волков,2022-02-24 01:18:00,0,True
107,Аякс и Мюнхен удивили,Вадим Полищук,2022-02-24 01:21:00,0,True
108,Очередной отскок мумушника,Савелий Сухарев,2022-02-24 01:23:00,0,True
109,Кого-то реально удивляет ничья Зальцбурга с Баварией?,Егор Чабров,2022-02-24 01:39:00,0,True
110,Хоть бы Зальцбург нагнул эту красную помойку в ответке,Эйч Яновски,2022-02-24 05:45:00,0,True
111,"Бл,,,,,,во а ге игра",Алексей Староверов,2022-02-24 05:55:00,0,True
112,Шинник Волгарь 3-3,Игорь Денисов,2022-02-24 06:01:00,0,True
113,Жара только впереди,Самат Байконов,2022-02-24 06:30:00,0,True
114,Самые грёбанные первые матчи,Алан Кокоев,2022-02-24 07:01:00,0,True
115,Зальцбург Бавария,Илья Береснев,2022-02-24 07:21:00,0,True
116,Спортинг-Ман Сити,Nurdaulet Nurlanov,2022-02-24 07:38:00,0,True
117,Зальцбург Бавария ,Иван Скуратов,2022-02-24 07:43:00,0,True
118,"Зальцбург Бавария, сгорел двойник тогда.",Роман Власов,2022-02-24 07:52:00,0,True
119,Теперь когда играть?,Салимжан Бегешов,2022-02-24 07:52:00,0,True
120,"Надеюсь Аякс вылетят, из-за них хороший экспресс сгорел",Евгений Егоров,2022-02-24 07:55:00,0,True
121,-,Михаил Ковач,2022-02-24 08:04:00,0,True
122,Мю атлетико Должно быть Мю:2 Атлетико:1,Мухамед Гулматов,2022-02-24 08:10:00,0,True
123,Бавария-Зальзбург,Степан Майоров,2022-02-24 08:39:00,0,True
124,Зальцбург бавария,Evgen Kushnir,2022-02-24 08:41:00,0,True
125,Бавария Зальцбург,Фархат Мадетхан,2022-02-24 08:44:00,0,True
126,Скучно как то голов мало,Илья Ярославцев,2022-02-24 08:48:00,1,True
127,Баварушка удивила ну и от Интера ожидал большего,Ернар Маратович,2022-02-24 09:17:00,0,True
128,А в Манчестере рейсы до Испании отменили ?,Кирилл Корж,2022-02-24 09:21:00,0,True
129,Самый неожиданный для меня результат - это Зальцбург Бавария.,Игорь Фёдоров,2022-02-24 09:46:00,1,True
130,Интер Ливер,Матвей Барышев,2022-02-24 09:57:00,0,True
131,В 1/4 пройдут:ПСЖМан СитиБаварияЛиверпульЧелсиЮвентусАяксМЮ,Иван Якшин,2022-02-24 12:15:00,0,True
132,"Ура, Финал Лиги Чемпионов не проведут в Питере",Shadia,2022-02-24 12:36:00,0,True
133,"Shadia, да, вроде уже официально заявили",Макар Воевода,2022-02-24 13:21:00,0,False
