,CommentText,Nickname,Date,LikesCount,IsBaseComment
211, Когда я читал ваше сообщение то первая мысль и за неё вы меня извините была. Больной? Но тут подумав решил что вы сталкивались только добрыми и отзывчивыми мигрантами. Ну тогда бог нам всем судья за наши решения и мысли. Но я считаю что вы не правы считая тех кто столкнулся с плохой стороной мигрантов и видел и на себе почувствовал что они из себя представляют. Так как злая сторона у мигрантов доминирует над доброй. , Виталий Г ,2022-02-17 11:53:00,8,True
212, И да ещё. Почитайте ради интереса какую историю преподают теперь у них. Проблему решать нужно но деньги так завораживают. , Виталий Г ,2022-02-17 11:56:00,9,True
213," А Вам не приходила в голову простая мысль, что ровно на тех же основаниях не совсем здоровым можно считать именно Вас. ", Константин Русский ,2022-02-18 12:00:00,9,True
214," Нужно вводить ограничения как в Калужской области чтобы была у людей возможность подработать в жкх, такси и курьерской службке. ", Виталий Г ,2022-02-18 12:16:00,7,True
215, Если 15 мигрантов отправить домой то появиться один трактор который их заменит. , Виталий Г ,2022-02-18 12:17:00,10,True
216," Это сообщение звучит как разрешение нелегалам находиться в РФ. Делайте все, только на национальной почве не шалите ", Никола Питерский ,2022-02-18 01:07:00,4,True
217," Только что дали добро на въезд 120 тысячам таджиков, ранее выдворенным из страны. Типа нелегальные легальными стали? Они русский язык выучили и русской культурой прониклись за неделю? ", Сергей Анкинович ,2022-02-18 01:36:00,10,True
218," Это тебе стоит изучить как ты выразился матчасть, ""Эльбрусы"" делают в Калининграде, а не на Тайване. Эльбрусы стоят в Мин. обороны , МВД, ФСБ и так далее для этого они и делались. ", Jenny Savastano ,2022-02-18 02:03:00,6,False
219," За преступление не депортируют а срок паяют, не слышал? А после отсидки да депортация. Простые действия надо всем объяснять до чего народ сейчас оглупел. ", Jenny Savastano ,2022-02-18 02:06:00,9,False
220, Всего-то 20 лет понадобилось профессиональному разведчику для понимания связи между миллионами темных нищих чужаков и терроризмом .. , Анатолий Серяков ,2022-02-18 02:16:00,10,True
221, Что такое 120.000 это капля в море когда их уже здесь миллионы вместе с детьми. , Дмитрий Лавренцов ,2022-02-18 07:32:00,6,False
222," Они прекрасно знали 20 лет что будет происходить в стране. Но продолжали эшелонами сюда их вести они на них деньги зарабатывали и миллионерами становились. Они коренными жителями не интересовались как будут жить и где работать их интересовали только деньги. Они не задумывались даже что каждый день будут происходить грабежи, убийство и так далее. А теперь за голову хватаются они и думают что натворили,также высказывать начали что с этим бороться надо. Им видна стыдно только стало что первый мэр из Калуги начал с этим бороться. А так ещё бы десятилетия молчали бы и эшелонами привозили сюда и амнести всякие делали. ", Дмитрий Лавренцов ,2022-02-18 07:47:00,11,False
223," Все верно, мне почти 30 и многие мои одноклассники и однокурсники уже уехали, а ведь это будущее поколение нашей страны. Высококлассные специалисты. Я вот тоже потихоньку думаю свалить - и по причине безопасности себя и своей семьи тоже. ", Михаил Б ,2022-02-18 10:43:00,6,False
224," от себя не убежишь.. вот такое отношение спасайся кто может и губит Россию, все ищут тёплого места. Уехать куда? Высококлассные специалисты они в чём были? Дипломы наши не котируются. Ты знаешь сколько стоит жизнь в ньюйорке? Сьём квартиры 2700 дол. С негром 1400 дол. Вызов скорой помощи 1800 дол, операция на аппендицит 20000 дол. продолжить? Страховка мед не покрывает всего и она составляет минимаьная 500 дол и выше в месяц. страховка на машину 200 дол в мес. ты просто не знаешь что такое америка. ", С 500 ,2022-02-18 11:10:00,5,False
225," а что, кроме америки стран нет в мире? ", Михаил Б ,2022-02-18 11:33:00,4,False
226," вот ты думаешь везде сахал. хочешь уезжать - уезжай. приямо таки люди жируют везде. в любой стране мира 95 процентов выживают. в любой. тебе 30, а думаешь не как 30летний. ", С 500 ,2022-02-18 12:04:00,2,False
227," если хочется уехать - уезжай, а так это выглядит так, что ты пишешь, и сам пытаешься поверить в то, что пишешь. кто хочет - уже уехал. ", С 500 ,2022-02-18 02:03:00,1,True
