,Nickname,LikedByAuthor,CommentText,Date,LikesCount,isBaseComment,RepliesCount,RepliesID
120,Jegan Kandiah,False,Thank U I found it helpful,2021-03-01 07:09:30.644402,4,False,0,[]
121,Alexander.,False,thanks,2021-03-01 07:09:30.646424,2,False,0,[]
122,Ketty Shelly,False, @nancy quinones  my favourite band either!,2021-03-01 07:09:30.647422,0,False,0,[]
123,Ketty Shelly,False, @Gisele  :) you are welcome,2021-03-01 07:09:30.648421,0,False,0,[]
124,Ketty Shelly,False, @kisaragi station commuter  just press the number near the title,2021-03-01 07:09:30.649419,1,False,0,[]
125,Ketty Shelly,False, @Julia Viter  Thank you a lot! You too!,2021-03-01 07:09:30.650415,2,False,0,[]
126,Julia Viter,False, @Ketty Shelly  😉Thanks🌺😘,2021-03-01 07:09:30.652412,0,False,0,[]
127,Nirmal Deb,False,Thank you,2021-03-01 07:09:30.653412,1,False,0,[]
128,Gokul G,False,Thank you 🙏.. you did this for all of us 💗❤️,2021-03-01 07:09:30.654376,4,False,0,[]
129,michael pnbbn,False,intuitive,2021-03-01 07:09:30.655372,4,False,0,[]
130,Perla Abreu,False,Thank you sooooo much,2021-03-01 07:09:30.656370,4,False,0,[]
131,Calmed by Nature - Relaxing Sounds,False,"Best part of each song(according to me :)

Sunrise     1:50-2:50
Church      05:09-05:40
Trouble in Town    09:21 -11:07
Broken   12:34-13:12
Daddy   16:49-17:30
WOTW/POTP   19:18-19:36
Arabesque   24:40-25:44
When I need a friend   26:53-27:38
Guns   28:55-29:12
Orphans   32:23-33:20
Eko   34:51-35:21
Cry Cry Cry   38:04-38:58
Old Friends   40:50-41:15
Bani Adam   44:48-45:06
Champion of the World  47:11-48:30
Everyday life  51:56-52:07",2021-03-01 07:09:30.657367,3,False,0,[]
132,Армен Агаджанян,False,ապրես,2021-03-01 07:09:30.659390,0,False,0,[]
133,Cecilia Herve,False, @thunderbirdice  Mb,2021-04-01 07:09:30.661356,0,False,0,[]
134,Cecilia Herve,False, @thunderbirdice  Mb,2021-04-01 07:09:30.663380,0,False,0,[]
135,Cecilia Herve,False,"999988 .9c Obrigada vklmxko8
lo jjoo j bom já chegou o7 90
   B8c",2021-04-01 07:09:30.664380,0,False,0,[]
136,Cecilia Herve,False, @astiti bueno  99ooo999ooj09com,2021-04-01 07:09:30.666343,0,False,0,[]
137,Andreas Radjah,False,Thank You so much.,2021-04-01 07:09:30.668369,1,False,0,[]
138,Arthurtopping,False,wow,2021-04-01 07:09:30.669334,0,False,0,[]
139,agnaldo rafael silva,False,Metálica,2021-04-01 07:09:30.671330,0,False,0,[]
140,Miguel Lemos,False,Fantastique concert. Music is the best terapy. From Portugal. Peace,2021-05-01 07:09:30.673353,1,False,0,[]
141,설구,False,thank u,2021-05-01 07:09:30.675319,2,False,0,[]
142,Kauai Tavora,False,.,2021-05-01 07:09:30.677343,0,False,0,[]
143,peter obiene,False,Quite helpful. Thanks for sharing.,2021-06-01 07:09:30.678342,2,False,0,[]
144,Trade en el Cielo,False,thank you very much,2021-06-01 07:09:30.680334,2,False,0,[]
145,Yana Akopova,False,thanks !!! should be up on comments,2021-07-01 07:09:30.682329,2,False,0,[]
146,febri nurdiana,False,53:30 whats the surah?,2021-07-01 07:09:30.683325,0,False,0,[]
147,ccc,False,?,2021-07-01 07:09:30.685292,0,False,0,[]
148,Jaspreet Kaur,False,❤you're sweet,2021-07-01 07:09:30.687286,0,False,0,[]
149,Ricky Lian,False, @kisaragi station commuter  you're about 18 years too late XD,2021-08-01 07:09:30.689281,0,False,0,[]
150,The Almost Shining,False,Thanks,2021-08-01 07:09:30.690307,0,False,0,[]
151,A. M. Secapermana,False,thanks a loads,2021-09-01 07:09:30.692302,0,False,0,[]
152,Bernie Burns,False,You're crazy to me and I love you so much for your love bernie b,2021-09-01 07:09:30.694281,0,False,0,[]
153,Bernie Burns,False,I have been thinking about the dates and the flight was delayed 🕘 so I'll probably be going out for a couple of weeks but I'll be back 🔙 tomorrow night 🌃,2021-09-01 07:09:30.695295,1,False,0,[]
154,Bernie Burns,False,You can also use the following details for our,2021-09-01 07:09:30.697289,0,False,0,[]
155,kelly dugarte,False,"Thank you, at first I thought a one song, nothing else.",2021-09-01 07:09:30.932473,0,False,0,[]
156,Luciano Baleia,False,"Very goog, thanks",2021-09-01 07:09:30.934438,0,False,0,[]
157,Pedro Viana,False,thx,2021-09-01 07:09:30.935435,0,False,0,[]
158,Sajjad Sher,False,"The Divine Dawn!
Wonderful Cold Play 💗",2021-11-01 07:09:30.937430,0,False,0,[]
159,Josimar Oliveira,False,thanks for posting🙏🏼,2022-01-01 07:09:30.939454,1,False,0,[]
160,U H89,False,Thx 👍.,2022-01-01 07:09:30.941420,0,False,0,[]
161,ONNIE TALONE,False, @Danutė Vyšniauskaitė  >3 lol it has,2022-01-01 07:09:30.943414,0,False,0,[]
162,ONNIE TALONE,False, @agnaldo rafael silva  tes,2022-01-01 07:09:30.944411,0,False,0,[]
163,Ivan Alejandro Medina Meza,False,muchas gracias,2022-01-01 07:09:30.946406,0,False,0,[]
164,Juan Amarilla,False,Grazie :-),2022-01-01 07:09:30.947403,0,False,0,[]
165,Michele Marquardt,False,❤,2022-02-08 07:09:30.949398,0,False,0,[]
166,francisco santos,False,Muchísimas gracias! Desde 🇪🇦,2022-02-15 07:09:30.950395,0,False,0,[]
